Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-4,0251E-17","5,7935E-34","0,24074",0,0,0,39819,"0,95808","9,1833E-33","1,4543E-18","0,95808","-2,0879E-32","0,84991",0,0,0,0,0,0,package://nemo1_description/meshes/base_link.STL,1,"0,95686","0,92941",1,0,0,0,0,0,0,package://nemo1_description/meshes/base_link.STL,,00_Base_Latching_End_Effector-1,Base_KS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"0,010338","-0,0004773","0,18391",0,0,0,49442,"0,72708","0,0024865","-0,12127","0,89497","-0,00065038","0,71565",0,0,0,0,0,0,package://nemo1_description/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://nemo1_description/meshes/link_1.STL,,01_Link_1-1,J1_KS,A1,J1,revolute,0,0,305,0,0,0,base_link,0,0,1,2000,"0,8","-3,14","3,14",,,,,,,,
link_2,-405,"-7,1675E-05","0,1354",0,0,0,23562,"0,13291","-7,5138E-07","2,3007E-07",3415,0.05699,"3,4052",0,0,0,0,0,0,package://nemo1_description/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://nemo1_description/meshes/link_2.STL,,02_Link_2-1,J2_KS,A2,J2,revolute,"0,15",0,"0,3",0,"1,5707963267949",0,link_1,0,0,-1,2000,"0,8","-3,14","3,14",,,,,,,,
link_3,"-0,41186",-0.07289,"-0,086846",0,0,0,23169,"0,12961","1,2349E-05","0,013812","3,3462","-5,4544E-05","3,3396",0,0,0,0,0,0,package://nemo1_description/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://nemo1_description/meshes/link_3.STL,,03_Link_3-1,J3_KS,A3,J3,revolute,"-0,81",0,"0,05",0,0,0,link_2,0,0,-1,2000,"0,8","-3,14","3,14",,,,,,,,
link_4,"-0,20303","5,5903E-05","0,093029",0,0,0,15206,"0,087692","-0,00022912","0,046098","1,3816","-2,2268E-05","1,3789",0,0,0,0,0,0,package://nemo1_description/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://nemo1_description/meshes/link_4.STL,,04_Link_4-1,J4_KS,A4,J4,revolute,"-0,81",0,0,0,0,0,link_3,0,0,1,2000,"0,8","-3,14","3,14",,,,,,,,
link_5,"0,023474","7,7273E-05","0,13435",0,0,0,11232,"0,058934","7,6333E-05","-0,0089365","0,06121","-3,0975E-05","0,056584",0,0,0,0,0,0,package://nemo1_description/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://nemo1_description/meshes/link_5.STL,,05_Link_5-1,J5_KS,A5,J5,revolute,-707,0,107,"3,14159265358979","1,5707963267949",0,link_4,0,0,-1,2000,"0,8","-3,14","3,14",,,,,,,,
link_6,"-0,023472","8,0222E-05","0,08448",0,0,0,10839,"0,053489","-3,1793E-05","0,0081853","0,057908","-7,3889E-05","0,058602",0,0,0,0,0,0,package://nemo1_description/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://nemo1_description/meshes/link_6.STL,,06_Link_6-1,J6_KS,A6,J6,revolute,105,0,157,0,"1,5708",0,link_5,0,0,1,2000,"0,8","-3,14","3,14",,,,,,,,
EE,"-3,8804E-08","-1,3523E-08","0,14436",0,0,0,10348,"0,090992","-1,3474E-08","5,0453E-08","0,090992","1,7583E-08","0,066002",0,0,0,0,0,0,package://nemo1_description/meshes/EE.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://nemo1_description/meshes/EE.STL,,07_Prov_EE-1,J7_KS,A7,J7,revolute,-107,0,105,"3,14159265358979","1,5707963267949",0,link_6,0,0,1,2000,"0,8","-3,14","3,14",,,,,,,,
